20150101	2
20150102	2
20150103	2
20150110	1
20150111	1
20150117	1
20150118	1
20150124	1
20150125	1
20150131	1
20150201	1
20150207	1
20150208	1
20150214	1
20150218	2
20150219	2
20150220	2
20150221	2
20150222	2
20150223	2
20150224	2
20150301	1
20150307	1
20150308	1
20150314	1
20150315	1
20150321	1
20150322	1
20150328	1
20150329	1
20150404	2
20150405	2
20150406	2
20150411	1
20150412	1
20150418	1
20150419	1
20150425	1
20150426	1
20150501	2
20150502	2
20150503	2
20150509	1
20150510	1
20150516	1
20150517	1
20150523	1
20150524	1
20150530	1
20150531	1
20150606	1
20150607	1
20150613	1
20150614	1
20150620	2
20150621	2
20150622	2
20150627	1
20150628	1
20150704	1
20150705	1
20150711	1
20150712	1
20150718	1
20150719	1
20150725	1
20150726	1
20150801	1
20150802	1
20150808	1
20150809	1
20150815	1
20150816	1
20150822	1
20150823	1
20150829	1
20150830	1
20150903	2
20150904	2
20150905	2
20150912	1
20150913	1
20150919	1
20150920	1
20150926	2
20150927	2
20151001	2
20151002	2
20151003	2
20151004	2
20151005	2
20151006	2
20151007	2
20151011	1
20151017	1
20151018	1
20151024	1
20151025	1
20151031	1
20151101	1
20151107	1
20151108	1
20151114	1
20151115	1
20151121	1
20151122	1
20151128	1
20151129	1
20151205	1
20151206	1
20151212	1
20151213	1
20151219	1
20151220	1
20151226	1
20151227	1
